Age,ONLocation,CarAge,Claim
52,Garage,2,No
46,Garage,7,Yes
59,Garage,14,No
62,Garage,12,No
59,Road,13,Yes
78,Garage,1,Yes
63,Road,14,Yes
30,Garage,6,Yes
24,Garage,13,Yes
23,Garage,4,Yes
47,Road,4,Yes
59,Garage,18,No
74,Garage,3,No
68,Drive,3,No
41,Garage,6,No
54,Garage,7,Yes
75,Garage,5,No
71,Drive,14,Yes
46,Garage,4,No
71,Garage,2,Yes
65,Road,3,Yes
76,Garage,1,Yes
35,Garage,1,Yes
33,Garage,7,No
46,Garage,2,No
79,Road,13,Yes
72,Garage,5,No
52,Drive,2,No
61,Garage,5,Yes
64,Garage,1,No
19,Road,10,Yes
29,Garage,3,No
35,Garage,1,No
48,Garage,2,No
57,Road,7,Yes
23,Garage,11,Yes
38,Garage,5,No
27,Garage,8,No
31,Garage,2,No
54,Garage,16,Yes
25,Road,8,No
64,Drive,2,Yes
72,Drive,13,No
58,Drive,1,Yes
44,Drive,19,No
18,Garage,19,No
54,Road,7,Yes
49,Road,1,Yes
52,Garage,1,No
29,Road,2,No
54,Drive,7,No
32,Garage,13,No
72,Garage,7,Yes
66,Road,5,Yes
28,Garage,3,No
27,Garage,2,No
50,Garage,19,No
66,Garage,7,Yes
74,Drive,14,Yes
24,Garage,3,Yes
28,Road,1,No
71,Garage,12,Yes
68,Garage,10,Yes
23,Garage,4,Yes
53,Garage,10,Yes
80,Road,10,Yes
51,Garage,1,No
79,Drive,1,Yes
80,Road,5,Yes
58,Garage,14,No
74,Garage,4,Yes
25,Garage,1,No
27,Garage,5,No
79,Garage,14,Yes
41,Road,2,Yes
77,Garage,1,Yes
67,Road,11,Yes
25,Road,3,No
46,Garage,13,Yes
64,Road,1,Yes
47,Garage,1,No
58,Garage,2,Yes
44,Road,13,Yes
34,Drive,1,Yes
28,Road,1,No
76,Garage,11,No
50,Drive,8,Yes
21,Road,6,Yes
51,Drive,2,No
39,Garage,1,No
35,Garage,18,No
63,Garage,4,No
78,Garage,1,No
41,Garage,8,No
65,Garage,1,No
72,Garage,1,Yes
57,Road,13,Yes
67,Garage,6,No
36,Garage,10,No
35,Garage,8,No
58,Garage,3,No
67,Garage,4,No
63,Garage,3,No
26,Garage,2,No
68,Garage,9,No
58,Drive,3,Yes
36,Road,1,No
37,Garage,2,No
70,Garage,2,Yes
20,Garage,1,No
67,Garage,1,Yes
60,Garage,1,Yes
32,Road,2,Yes
40,Road,4,Yes
19,Drive,15,Yes
55,Garage,13,Yes
77,Drive,10,Yes
23,Garage,2,Yes
72,Road,11,Yes
37,Road,12,Yes
28,Drive,1,Yes
18,Garage,2,Yes
77,Garage,1,Yes
39,Garage,11,No
27,Garage,3,No
71,Road,9,Yes
62,Drive,11,Yes
56,Garage,1,Yes
25,Garage,6,No
43,Garage,10,No
32,Garage,6,No
35,Garage,3,No
67,Garage,2,No
72,Garage,5,No
24,Garage,3,Yes
31,Road,6,Yes
32,Road,1,Yes
77,Garage,3,Yes
79,Garage,3,No
49,Garage,6,No
46,Garage,18,No
32,Garage,4,No
69,Garage,3,No
39,Garage,8,No
69,Garage,19,Yes
54,Road,1,No
77,Garage,2,Yes
21,Garage,14,Yes
49,Garage,2,Yes
47,Road,1,Yes
76,Garage,3,Yes
29,Garage,1,No
19,Garage,4,Yes
60,Drive,19,Yes
59,Garage,1,No
33,Garage,13,No
40,Garage,1,No
67,Garage,12,Yes
52,Garage,3,No
43,Garage,10,No
62,Garage,9,Yes
57,Road,3,Yes
73,Road,1,Yes
55,Road,15,Yes
35,Garage,1,No
47,Garage,7,No
75,Garage,3,No
44,Garage,1,No
19,Garage,1,No
20,Road,3,Yes
63,Garage,1,No
68,Garage,1,Yes
34,Garage,2,Yes
50,Garage,6,No
26,Garage,10,Yes
71,Garage,7,No
80,Garage,16,Yes
65,Garage,5,No
34,Garage,2,No
80,Garage,6,Yes
30,Garage,2,No
31,Garage,3,No
57,Garage,3,No
68,Drive,9,Yes
55,Drive,13,Yes
28,Garage,11,No
39,Garage,15,No
42,Drive,2,No
43,Garage,1,No
37,Garage,12,No
26,Road,2,No
37,Drive,1,No
21,Garage,1,No
58,Garage,7,Yes
52,Garage,6,No
79,Garage,5,Yes
66,Garage,4,No
31,Garage,17,No
27,Road,1,No
32,Garage,17,No
56,Road,1,No
53,Drive,1,No
36,Garage,9,No
38,Garage,1,No
19,Garage,15,Yes
20,Garage,1,Yes
32,Garage,3,No
68,Garage,3,No
58,Road,1,Yes
40,Road,10,Yes
71,Garage,4,No
49,Garage,9,No
21,Garage,1,No
71,Road,15,Yes
41,Garage,14,Yes
26,Garage,1,No
64,Garage,17,Yes
67,Garage,2,No
80,Road,4,Yes
76,Garage,16,No
23,Garage,2,No
52,Garage,10,No
33,Road,1,No
49,Garage,4,No
63,Garage,5,Yes
42,Garage,3,No
70,Road,1,Yes
64,Garage,7,No
35,Garage,12,No
47,Garage,1,Yes
35,Garage,3,No
19,Garage,4,Yes
45,Drive,18,No
30,Road,11,Yes
79,Garage,1,No
45,Garage,2,No
76,Garage,11,No
28,Garage,9,No
45,Garage,2,No
67,Garage,3,No
79,Garage,3,No
46,Garage,12,No
49,Garage,15,No
68,Garage,8,No
73,Drive,2,Yes
43,Garage,1,No
59,Garage,12,Yes
48,Garage,6,No
40,Garage,1,No
60,Garage,2,No
24,Garage,1,Yes
29,Garage,1,No
1003,Garage,12,No
51,Garage,19,No
51,Garage,7,No
58,Garage,5,Yes
57,Garage,8,No
77,Garage,2,Yes
75,Garage,6,Yes
65,Garage,3,No
51,Drive,5,Yes
34,Garage,2,No
28,Garage,1,Yes
33,Road,3,Yes
48,Road,7,Yes
69,Garage,4,No
24,Garage,9,Yes
60,Road,3,Yes
62,Drive,1,No
28,Garage,10,No
74,Garage,13,Yes
75,Garage,1,No
50,Garage,11,No
38,Garage,1,No
80,Garage,3,Yes
49,Garage,7,No
65,Road,6,No
75,Garage,8,No
39,Garage,2,No
69,Drive,9,Yes
27,Garage,4,No
48,Road,2,No
18,Road,2,Yes
25,Garage,4,No
71,Garage,14,No
56,Garage,1,No
46,Road,6,No
49,Garage,1,Yes
65,Garage,16,Yes
30,Garage,18,No
27,Road,6,No
54,Garage,5,Yes
75,Garage,17,Yes
20,Garage,2,No
71,Garage,3,Yes
76,Garage,2,No
32,Garage,2,No
50,Garage,1,Yes
24,Garage,1,Yes
60,Garage,9,Yes
33,Garage,1,No
25,Road,2,Yes
57,Garage,3,No
60,Garage,18,Yes
79,Garage,6,Yes
54,Road,1,Yes
62,Garage,12,Yes
48,Garage,1,No
21,Garage,1,Yes
37,Garage,7,No
18,Garage,2,No
69,Garage,17,Yes
73,Garage,3,No
30,Garage,12,No
80,Road,2,Yes
18,Drive,4,Yes
41,Road,7,No
61,Road,4,Yes
65,Road,9,Yes
23,Garage,1,Yes
28,Garage,4,No
41,Garage,4,No
41,Garage,2,No
62,Garage,7,Yes
29,Garage,6,No
20,Garage,2,Yes
76,Garage,2,Yes
38,Garage,3,No
25,Road,8,Yes
52,Road,12,Yes
28,Drive,2,No
79,Garage,5,Yes
52,Garage,8,No
65,Road,5,Yes
71,Garage,14,No
30,Road,13,Yes
47,Road,7,Yes
66,Garage,1,No
53,Garage,6,No
65,Garage,13,Yes
28,Garage,3,No
24,Garage,1,No
76,Garage,5,Yes
73,Garage,11,Yes
21,Garage,1,No
29,Road,14,No
37,Garage,6,No
41,Rode,3,Yes
77,Drive,10,Yes
27,Garage,6,No
56,Garage,4,No
66,Garage,1,Yes
47,Garage,8,No
57,Garage,16,No
33,Garage,6,No
31,Garage,1,No
65,Garage,7,No
5469,Road,5,Yes
43,Garage,2,No
36,Drive,1,No
70,Garage,10,Yes
64,Road,8,Yes
75,Drive,4,Yes
48,Road,3,Yes
31,Drive,6,No
46,Road,2,No
71,Road,4,Yes
31,Garage,6,No
32,Garage,2,No
51,Garage,7,Yes
61,Drive,12,Yes
40,Road,1,Yes
34,Garage,1,No
25,Drive,1,No
59,Garage,10,No
42,Garage,1,No
38,Road,5,Yes
52,Garage,2,No
73,Garage,1,No
78,Garage,8,Yes
22,Garage,1,No
64,Drive,18,Yes
64,Road,2,Yes
52,Garage,12,Yes
61,Garage,4,No
42,Drive,16,Yes
43,Road,1,No
36,Road,8,Yes
50,Road,1,No
31,Road,1,No
38,Garage,5,No
35,Garage,2,No
73,Garage,12,No
29,Garage,1,No
38,Road,1,No
39,Garage,6,No
24,Drive,3,Yes
44,Road,2,Yes
73,Drive,1,Yes
33,Road,1,No
78,Garage,1,Yes
37,Garage,4,No
53,Road,7,No
25,Garage,19,No
45,Garage,1,No
19,Drive,1,No
48,Road,11,Yes
77,Garage,2,Yes
48,Garage,15,No
50,Garage,3,No
64,Garage,14,Yes
20,Garage,1,No
67,Road,8,Yes
42,Garage,2,No
76,Garage,12,Yes
42,Road,2,No
46,Garage,2,No
71,Garage,1,Yes
60,Garage,1,Yes
20,Drive,16,Yes
32,Garage,16,No
37,Garage,9,No
56,Garage,5,No
66,Garage,1,No
35,Drive,2,No
74,Garage,10,No
74,Garage,9,Yes
47,Garage,6,No
40,Garage,4,No
62,Garage,1,Yes
46,Garage,1,Yes
61,Road,18,Yes
31,Garage,5,No
75,Garage,3,No
21,Road,3,Yes
21,Garage,7,No
64,Garage,2,Yes
42,Garage,12,Yes
35,Garage,1,No
43,Garage,2,No
29,Garage,1,Yes
72,Garage,5,Yes
49,Garage,2,No
76,Garage,13,Yes
32,Road,3,No
71,Road,1,No
34,Road,18,Yes
53,Garage,2,No
78,Road,6,Yes
57,Garage,1,No
31,Garage,4,No
